Author	year	journal	primate_sp	plant_sp	Variable	Xc	Nc	Xe	Ne	lnR	Var(lnR)
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Heteropsis spruceana	Germination time (days)	21	11	21	46	0	0.0003
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Miconia  lepidota	Days until 1st seed germinate	17	300	21	300	0.2113	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Ficus insipida	Germination time (days)	21	200	21	1943	0	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Ficus pertusa	Germination time (days)	42	697	21	6150	-0.6931	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Ficus pertusa	Germination time (days)	42	697	21	7870	-0.6931	0
Catenacci LS, Vleeschouwer KM, Nogueira-Filho SLG	2009	Biotropica	Leontopithecus chrysomelas	Cheiloclinium cognatum	Germination time (days)	31	2	21.5	2	-0.3659	0.0016
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Lagothrix lagotricha	Protium sagotianum	Germination time (days)	25	40	21.7	40	-0.1416	0.0001
Estrada A & Coates-Estrada R	1984	American Journal of Primatology	Alouatta palliata	Poulsenia armata	Germination Proportion (%)	0.1	100	22	100	5.3936	1
Julliot C	1996	International Journal of Primatology	Alouatta seniculus	Moutabea guianensis	Days until 1st seed germinate	22	36	22	100	0	0.0001
Julliot C	1996	International Journal of Primatology	Alouatta seniculus	Moutabea guianensis	Germination time (days)	22	36	22	100	0	0.0001
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Ateles belzebuth	Coussapoa orthoneura	Germination Proportion (%)	60	100	22	363	-1.0033	0
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Sarcaulus brasiliensis	Days until 1st seed germinate	21.8	36	22.2	36	0.0182	0.0001
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Ateles belzebuth	Brosimum lactescens	Germination time (days)	25.1	31	22.9	31	-0.0917	0.0001
Stevenson PR	2000	American Journal of Primatology	Lagothrix lagotricha	Hyeronima alchorneoides	Germination Proportion (%)	10	15	23	15	0.8329	0.0008
Moraes PLR	1992	Revista do Instituto Florestal	Brachyteles arachnoides	Campomanesia guaviroba	Germination time (days)	41	50	23	48	-0.5781	0.0001
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Lagothrix lagotricha	Hyeronima alchorneoides	Germination Proportion (%)	10	60	23	60	0.8329	0.0002
Valenta K & Fedigan LM	2009	American Journal of Physical Anthropology	Cebus capucinus	Sciadodendron excelsum	Germination time (days)	22.6	100	23.7	100	0.0475	0
Moraes PLR	1992	Revista do Instituto Florestal	Brachyteles arachnoides	Cryptocarya mandioccana	Germination time (days)	59	50	24	94	-0.8995	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Ficus insipida	Germination Proportion (%)	5.5	200	24.5	1222	1.4939	0.0002
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Ateles belzebuth	Protium crenatum	Germination Proportion (%)	13	15	25	12	0.6539	0.0005
